description,amount,label,balance,date
pos purchase yoco *mr pants wi  [date],-400.0,Alcohol,23274.61,2023-10-13 00:00:00
pos purchase 4th avenue coffee r  [date],-75.0,Coffee,-55005.02,2023-09-20 00:00:00
pos purchase [grocers] fam outspan roa  [date],-63.98,Groceries,10082.29,2023-11-07 00:00:00
monthly account admin fee,-5.0,Bank Charges and Fees,81.02,2021-10-01T00:00:00
sms notification fee,-1.6,Bank Charges and Fees,6 078.80,2021-09-23T00:00:00
pos purchase eleni watch & jewel  [date],-480.0,General Purchases,-18762.25,2023-10-31 00:00:00
pos purchase 139.99 apple.com/bi  [date],-139.99,Subscriptions,-56565.92,2023-09-20 00:00:00
#service fees #int pymt fee-19.99 apple,-0.4,Bank Charges and Fees,-39483.38,2023-11-07 00:00:00
[grocers] mall of afr jukskei view (card ),-179.99,Groceries,216.94,2021-11-04T00:00:00
pos purchase [restaurant] [date],-991.5,Eating Out,16891.37,2023-09-27 00:00:00
pos purchase [restaurant] [date],-776.16,Eating Out,162458.18,2023-10-24 00:00:00
pos purchase [restaurant] [location] [date],-142.3,Eating Out,20184.26,2023-09-12 00:00:00
debit order dispute fee,-5.0,Bank Charges and Fees,4 940.79,2021-08-31T00:00:00
pos purchase [restaurant] [date],-550.0,Eating Out,6008.48,2023-11-15 00:00:00
debicheck internal d/o rmbcc dcre200609,-2905.0,Debit Order,-25054.88,2023-11-01 00:00:00
pos purchase uber rides  [date],-46.0,Transport,2816.65,2023-11-08 00:00:00
pos purchase [garage] parkhurst cor  [date],-46.0,General Purchases,-61568.99,2023-09-13 00:00:00
pos purchase dischem ballito lif  [date],-525.08,Health and Medical,70586.88,2023-10-11 00:00:00
magtape debit aon sa 293 2309t34834,-566.53,General Insurance,-60740.62,2023-09-01 00:00:00
online purchase: liberty hello stash braamfontein (card ),-10.0,Investments,575.06,2021-10-30T00:00:00
card purchase insufficient funds fee,-0.4,Insufficient Funds Fee,-8.72,2021-10-12T00:00:00
fuel purchase [garage] [location] [date],-400.0,Fuel,-58100.94,2023-11-21 00:00:00
dis-chem parow (card ),-20.9,Health and Medical,28.09,2022-11-10 00:00:00
pos purchase 1.00 uber *trip  [date],-20.36,Transport,2821.52,2023-10-20 00:00:00
int on debit balance,-779.43,Interest Repayment,-61560.54,2023-11-24 00:00:00
pos purchase [grocers] harding  [date],-53.98,Groceries,70495.43,2023-10-20 00:00:00
recurring card purchase: apple.com/bill itunes.com (card ),-44.99,Subscriptions,31.63,2021-11-07T00:00:00
yoco*recharge braai lo johannesburg (card ),-200.0,Fast Food & Takeouts,111.86,2021-09-26T00:00:00
pos purchase (effec ) [grocers] fam elgin kempt card no.,-594.17,Groceries,-655.02,2023-10-04T00:00:00
"overseas purchase ( 4,00 (effec ) netflix.com los g card no.",-159.0,Subscriptions,31 749.27,2023-10-12T00:00:00
card purchase insufficient funds fee,-0.4,Insufficient Funds Fee,4.88,2021-10-09T00:00:00
internet pmt to tf,-2300.0,Bank Transfer,22354.67,2023-11-10 00:00:00
fnb app payment to sanlam nor1,-200.0,Life Insurance,12123.69,2023-09-14 00:00:00
sms notification fee,-0.8,Bank Charges and Fees,623.13,2021-07-31T00:00:00
cash deposit fee (notes),-1.3,Cash Deposit Fee,121.26,2021-10-16T00:00:00
pos purchase [restaurant] [date],-190.0,Eating Out,-44599.36,2023-11-11 00:00:00
pos purchase plush carwash balit  [date],-130.0,Transport,18280.85,2023-08-22 00:00:00
pos purchase [restaurant] [date],-166.36,Eating Out,2411.87,2023-10-19 00:00:00
monthly account admin fee,-5.0,Bank Charges and Fees,1 685.96,2021-08-31T00:00:00
admin charge,-3.0,Bank Charges and Fees,8 285.60,2023-10-01T00:00:00
pos purchase [garage] [location] [date],-146.0,Fuel,-27602.31,2023-11-01 00:00:00
till cash withdrawal fee,-1.6,Bank Charges and Fees,34.06,2021-09-03T00:00:00
pos purchase 4th avenue coffee r  [date],-50.0,Coffee,-62651.94,2023-09-06 00:00:00
pos purchase [grocers]  [date],-3716.86,Groceries,6626.19,2023-10-17 00:00:00
pos purchase 4th avenue coffee r  [date],-85.0,Coffee,-58691.9,2023-09-23 00:00:00
pos purchase r & m meats  [date],-228.9,Groceries,-55610.31,2023-08-29 00:00:00
pos purchase zapper1*yoyo sa ser  [date],-252.56,General Purchases,4246.95,2023-09-06 00:00:00
debicheck authentication sms fee,-0.4,Bank Charges and Fees,13.26,2021-09-06T00:00:00
pos purchase [restaurant]  [date],-490.0,Eating Out,-60087.57,2023-09-11 00:00:00
pos purchase [grocers] online  [date],-254.97,Groceries,17463.93,2023-08-18 00:00:00
pos purchase yoco *the laundro  [date],-320.0,Personal Care,24692.84,2023-08-22 00:00:00
powerball purchase,-150.0,Gambling,1167.42,2023-11-03 00:00:00
card purchase insufficient funds fee,-0.4,Insufficient Funds Fee,223.64,2021-11-05T00:00:00
debit order fee,-3.5,Bank Charges and Fees,931.68,2021-07-30T00:00:00
pos purchase https://switchplayg  [date],-795.0,Electronics and Appliances,25501.69,2023-10-27 00:00:00
fnb app prepaid airtime,-110.0,Cellular Data Purchase,-44713.34,2023-11-13 00:00:00
pos purchase (effec ) hava java elgin  card no.,-115.0,Restaurants,614.75,2023-10-08T00:00:00
powerball purchase,-150.0,Gambling,43189.06,2023-09-01 00:00:00
pos purchase [restaurant] [location] [date],-80.0,Eating Out,8269.03,2023-09-05 00:00:00
cash withdrawal fee,-7.5,Bank Charges and Fees,864.85,2021-10-31T00:00:00
#service fees #int pymt fee-79.99 apple,-1.6,Bank Charges and Fees,-54812.32,2023-09-20 00:00:00
card purchase insufficient funds fee,-0.4,Insufficient Funds Fee,20.06,2021-09-06T00:00:00
pos purchase zar lounge kiosk an  [date],-20.0,General Purchases,24793.29,2023-10-18 00:00:00
pos purchase wd *sweet treat kin  [date],-140.5,General Purchases,67566.34,2023-10-03 00:00:00
card purchase insufficient funds fee,-0.4,Insufficient Funds Fee,-1.92,2021-10-11T00:00:00
magtape debit discinsure-,-10759.09,Auto Insurance,2005.77,2023-11-01 00:00:00
pos purchase [restaurant] [location] [date],-146.8,Eating Out,7220.03,2023-09-04 00:00:00
byc debit,-23.36,Investments,24926.74,2023-10-28 00:00:00
pos purchase [restaurant] [date],-271.0,Eating Out,3408.62,2023-09-20 00:00:00
online purchase: liberty hello stash braamfontein ) (card,-10.0,Investments,117.96,2021-10-10T00:00:00
pos purchase ok express paddoc49  [date],-41.98,General Purchases,66498.7,2023-10-14 00:00:00
pos purchase (effec ) clicks kembrich nccl  card no.,-391.06,Health and Medical,38 233.87,2023-10-28T00:00:00
rtc express pmt to ifix appliance care t a l 818-7,-907.5,Electronics and Appliances,18969.93,2023-08-19 00:00:00
pos purchase name-cheap.com* wrg  [date],-371.36,Online Purchase,25544.76,2023-10-19 00:00:00
card purchase insufficient funds fee,-0.4,Insufficient Funds Fee,35.48,2021-10-07T00:00:00
pos purchase [restaurant]  [date],-358.49,Eating Out,-60877.52,2023-09-12 00:00:00
international online purchase insufficient funds fee,-0.4,Insufficient Funds Fee,4.08,2021-10-02T00:00:00
pos purchase bespoke bootlegger  [date],-334.9,Alcohol,17684.83,2023-10-30 00:00:00
fnb app rtc pmt to fire place repair herve/flamboyant,-1700.0,Home and Garden,14373.74,2023-10-17 00:00:00
pos purchase umhlali country clu  [date],-215.0,Entertainment,20399.26,2023-09-12 00:00:00
internal debit order fnbrvlloan,-1931.76,General Loan Repayment,5113.52,2023-11-06 00:00:00
debicheck collection fee,-3.5,Bank Charges and Fees,8 042.27,2021-10-24T00:00:00
cash withdrawal dnr benoni northmead sqbenoni gtza,-490.0,ATM and Cash Withdrawal,33.36,2021-10-18T00:00:00
prepaid mobile purchase fee,-0.5,Bank Charges and Fees,25.44,2021-11-05T00:00:00
acb debit:external regsfonds reg,-50.0,Donation,4 901.28,2023-10-02T00:00:00
transaction charge,-11.0,Bank Charges and Fees,8 288.60,2023-10-01T00:00:00
magtape debit mtn sp,-1797.99,Cellular Data Purchase,29901.7,2023-09-30 00:00:00
pos purchase kokoro rivonia  [date],-366.91,Groceries,12703.95,2023-10-17 00:00:00
pos purchase [restaurant] [date],-83.4,Eating Out,-17772.31,2023-10-31 00:00:00
live better interest sweep,-2.0,Savings Transfer,56.36,2021-11-01T00:00:00
fnb app rtc pmt to paint,-2198.0,Bank Transfer,7134.65,2023-10-18 00:00:00
pos purchase [restaurant] [date],-270.0,Eating Out,-58603.62,2023-09-02 00:00:00
pick n pay springs (card ),-62.97,Groceries,230.86,2021-07-31T00:00:00
pos purchase [restaurant] *seattle cof  [date],-38.0,Coffee,10108.82,2023-08-30 00:00:00
pos purchase [grocers] harding  [date],-522.11,Groceries,77003.74,2023-10-18 00:00:00
debicheck internal d/o rmbcc dcre200609,-2931.0,Debit Order,-61171.62,2023-09-02 00:00:00
pos purchase postnet parkhurst  [date],-250.0,Home and Garden,-53629.45,2023-08-28 00:00:00
pos purchase [restaurant] [date],-307.95,Eating Out,22859.26,2023-10-28 00:00:00
send money dr x,-1300.0,Bank Transfer,13494.36,2023-11-01 00:00:00
pos purchase umhlali fresh produ  [date],-43.0,Groceries,18150.85,2023-08-22 00:00:00
sms notification fee,-0.4,Bank Charges and Fees,521.95,2021-09-01T00:00:00
pos purchase ok minimark villier  [date],-82.95,General Purchases,9948.63,2023-08-28 00:00:00
pos purchase (effec ) [grocers] fam elgin kempt card no.,-503.19,Groceries,31 908.27,2023-10-12T00:00:00
pos purchase colourful splendour  [date],-2359.97,Home and Garden,-33444.25,2023-11-01 00:00:00
international processing fee for insufficient funds device:,-3.0,Insufficient Funds Fee,18.03,2021-08-12T00:00:00
atm cash withdrawal fee,-9.75,Bank Charges and Fees,358.92,2021-11-04T00:00:00
payment received e,100.0,Bank Transfer,218.91,2021-11-02T00:00:00
pos purchase elegant dry cleaner  [date],-1800.0,Clothing,-31084.28,2023-11-01 00:00:00
pos purchase (effec ) shamsun traders pty lt  card no.,-120.0,General Purchases,31 629.27,2023-10-13T00:00:00
eft debit order insufficient funds fee,-7.0,Insufficient Funds Fee,339.87,2021-09-25T00:00:00
mr price benoni (card ),-359.94,Clothing,1 024.66,2021-10-29T00:00:00
international processing fee for insufficient funds,-3.0,Insufficient Funds Fee,-11.72,2021-10-12T00:00:00
byc debit,-3.45,Savings Transfer,11314.54,2023-09-23 00:00:00
international processing fee for insufficient funds,-3.0,Insufficient Funds Fee,5.28,2021-10-09T00:00:00
pos purchase [grocers]  [date],-574.4,Groceries,-51634.92,2023-09-19 00:00:00
pos purchase gelmar (pty)ltd bal  [date],-108.0,Home and Garden,11637.17,2023-09-26 00:00:00
int on debit balance,-260.28,Interest Repayment,23464.95,2023-11-10 00:00:00
sms notification fee,-0.4,Bank Charges and Fees,1 446.76,2021-10-25T00:00:00
fnb app payment to kzn golf carter,-300.0,Entertainment,77714.74,2023-10-19 00:00:00
pos purchase [restaurant] [date],-126.0,Eating Out,-17898.31,2023-10-31 00:00:00
payment received dispute cartrack,200.0,Returned Debit Order,255.36,2021-11-01T00:00:00
magtape debit mfrf one,-4041.74,General Insurance,3984.48,2023-09-01 00:00:00
fuel purchase [garage] [location] [date],-334.0,Fuel,-59362.57,2023-08-30 00:00:00
sms notification fee: 2 notification(s),-0.5,Bank Charges and Fees,327.09,2022-11-19 00:00:00
pos purchase [restaurant] [location] [date],-100.0,Eating Out,20054.67,2023-11-09 00:00:00
fuel purchase [garage] [location] [date],-300.0,Fuel,75874.29,2023-10-05 00:00:00
pos purchase jet sandton sq  [date],-59.98,Clothing,27368.61,2023-10-27 00:00:00
international online purchase insufficient funds fee,-0.4,Insufficient Funds Fee,95.06,2021-09-30T00:00:00
international processing recurring card purchase fee: netflix.com,-1.0,Bank Charges and Fees,1 083.13,2021-10-23T00:00:00
atm cash withdrawal fee,-9.75,Bank Charges and Fees,219.16,2021-11-01T00:00:00
international online purchase insufficient funds fee,-0.4,Insufficient Funds Fee,76.88,2021-10-04T00:00:00
lotto purchase,-200.0,Gambling,1017.42,2023-11-03 00:00:00
digital payment dt absa bank vodacom,-550.0,Cellular Data Purchase,36 894.38,2023-09-29T00:00:00
pos purchase umhlanga essentials  [date],-114.0,General Purchases,11751.17,2023-09-26 00:00:00
lotto winnings lotto winnings vodssddbns2k,119.7,Gambling,25085.8,2023-08-24 00:00:00
international processing fee for insufficient funds 10/11/,-3.0,Insufficient Funds Fee,-55.92,2021-10-21T00:00:00
fuel purchase cj motors([garage] [location] [date],-500.0,Fuel,-58339.91,2023-09-21 00:00:00
pos purchase jj cale morningside  [date],-1128.0,Tobacco & Smoking,14785.55,2023-11-14 00:00:00
zigzag cafe sa pty ltd kwathema (card ),-320.0,Entertainment,1 126.76,2021-10-24T00:00:00
magtape debit m-choice,-994.0,Subscriptions,68605.12,2023-10-02 00:00:00
#service fees #int pymt fee-124.99 appl,-2.5,Bank Charges and Fees,-54817.02,2023-09-20 00:00:00
pos purchase [garage] parkhurst cor  [date],-61.5,General Purchases,-60153.05,2023-09-12 00:00:00
